Country Name,Country Code,Indicator Name,Indicator Code,2000,2005,2010,2015
Aruba,ABW,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,98.2535934448242,97.9789199829102,98.9204635620117,
Aruba,ABW,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,97.29125,,96.82264,
Aruba,ABW,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,97.07136,,96.71978,
Aruba,ABW,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,97.5374,,96.94053,
Australia,AUS,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,94.1244812011719,95.4895477294922,97.1056518554688,97.1604080200195
Australia,AUS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,
Australia,AUS,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,
Australia,AUS,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,
Austria,AUT,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,,,,
Austria,AUT,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,
Austria,AUT,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,
Austria,AUT,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,
Azerbaijan,AZE,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,88.239616394043,83.9535369873047,84.7260513305664,94.2627487182617
Azerbaijan,AZE,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,99.77114,99.78806
Azerbaijan,AZE,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,99.69263,99.71714
Azerbaijan,AZE,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,99.85444,99.86263
"Bahamas, The",BHS,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,,98.5798492431641,97.8058624267578,
"Bahamas, The",BHS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,
"Bahamas, The",BHS,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,
"Bahamas, The",BHS,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,
Bahrain,BHR,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,97.8886566162109,90.1977005004883,,97.9990997314453
